source_type,target_type,gene,n_cells,r,p,q
astrocyte,excitatory,SNAP25,29,0.03543387239716657,0.8552054814439881,0.8555247344591389
astrocyte,excitatory,GFAP,29,0.1366741702411128,0.4795876000994029,0.7993126668323381
astrocyte,excitatory,CX3CR1,29,-0.16451661538506895,0.3937639063658532,0.7875278127317064
astrocyte,excitatory,PLP1,29,-0.05268044890912883,0.7860815795013961,0.8555247344591389
astrocyte,excitatory,RIMS1,29,0.2255352949675429,0.23945417858015772,0.7491799470466886
astrocyte,excitatory,UNC13A,29,0.03535492487373517,0.8555247344591389,0.8555247344591389
astrocyte,excitatory,STXBP5,29,0.32037012751236504,0.09019936229071279,0.7491799470466886
astrocyte,excitatory,APOE,29,-0.24022428216051953,0.20939837544702117,0.7491799470466886
astrocyte,excitatory,ITGAM,29,-0.037804776542192324,0.8456285024699173,0.8555247344591389
astrocyte,excitatory,SLC1A3,29,-0.1994204299677378,0.2996719788186754,0.7491799470466886
astrocyte,inhibitory,SNAP25,29,-0.056193993243709564,0.7721746728844459,0.7721746728844459
astrocyte,inhibitory,GFAP,29,0.13615905069480916,0.48126074187753004,0.7721746728844459
astrocyte,inhibitory,CX3CR1,29,0.2960667348301771,0.11889403094753193,0.6751291950378207
astrocyte,inhibitory,PLP1,29,-0.280530470120538,0.14047181313857265,0.6751291950378207
astrocyte,inhibitory,RIMS1,29,0.076629281178175,0.6927755335891316,0.7721746728844459
astrocyte,inhibitory,UNC13A,29,-0.22645997440837337,0.23748179255402507,0.6751291950378207
astrocyte,inhibitory,STXBP5,29,0.2117933403324349,0.27005167801512825,0.6751291950378207
astrocyte,inhibitory,APOE,29,-0.08485665132333216,0.6616348082903143,0.7721746728844459
astrocyte,inhibitory,ITGAM,29,-0.16994895518337239,0.3781109056313002,0.7562218112626004
astrocyte,inhibitory,SLC1A3,29,-0.0665651871074846,0.7315401799616262,0.7721746728844459
astrocyte,microglia,SNAP25,29,0.11927907950160418,0.5377035416470357,0.8431888534039993
astrocyte,microglia,GFAP,29,0.11373374538601232,0.5569047025947266,0.8431888534039993
astrocyte,microglia,CX3CR1,29,0.18441507627326764,0.3382294267958712,0.8431888534039993
astrocyte,microglia,PLP1,29,-0.10431176747611397,0.5902321973827995,0.8431888534039993
astrocyte,microglia,RIMS1,29,0.05675301409980451,0.7699682519392905,0.8555202799325451
astrocyte,microglia,UNC13A,29,-0.0007844006228253566,0.9967779043199001,0.9967779043199001
astrocyte,microglia,STXBP5,29,0.058502801710308784,0.7630733649951116,0.8555202799325451
astrocyte,microglia,APOE,29,-0.19039347764972137,0.32252224682606134,0.8431888534039993
astrocyte,microglia,ITGAM,29,0.20574876565896277,0.28427647014476054,0.8431888534039993
astrocyte,microglia,SLC1A3,29,-0.21026395375581386,0.2736064734091037,0.8431888534039993
astrocyte,oligodendrocyte,SNAP25,29,0.2088830213318202,0.27684200815791105,0.8350602603157741
astrocyte,oligodendrocyte,GFAP,29,0.15548575239094514,0.42058828781251,0.8350602603157741
astrocyte,oligodendrocyte,CX3CR1,29,0.1301384483898278,0.5010361561894644,0.8350602603157741
astrocyte,oligodendrocyte,PLP1,29,-0.0653440320762173,0.7362903097763032,0.8445996049704875
