region,source_type,target_type,gene,n_cells,r,p,q
CA3,excitatory,astrocyte,SNAP25,11,-0.12955479908500203,0.7042018725558413,0.796929211140409
CA3,excitatory,astrocyte,GFAP,11,0.157827572637319,0.6430253006465592,0.796929211140409
CA3,excitatory,astrocyte,CX3CR1,11,-0.20704381591353496,0.5413030677926367,0.796929211140409
CA3,excitatory,astrocyte,PLP1,11,0.4404418751149332,0.17516641153176452,0.796929211140409
CA3,excitatory,astrocyte,RIMS1,11,0.0880126584419858,0.796929211140409,0.796929211140409
CA3,excitatory,astrocyte,UNC13A,11,-0.28241850780435906,0.4000993533758073,0.796929211140409
CA3,excitatory,astrocyte,STXBP5,11,0.25772408980736544,0.4442005324291046,0.796929211140409
CA3,excitatory,astrocyte,APOE,11,-0.7713830743581196,0.005430575334627455,0.05430575334627455
CA3,excitatory,astrocyte,ITGAM,11,0.10976819308642394,0.7479968432283686,0.796929211140409
CA3,excitatory,astrocyte,SLC1A3,11,0.269391271380347,0.4230877864104214,0.796929211140409
CA3,excitatory,inhibitory,SNAP25,11,0.4993955473005037,0.11782168897307534,0.3842600505300746
CA3,excitatory,inhibitory,GFAP,11,0.28823075745074744,0.39004649721139684,0.4943060913354326
CA3,excitatory,inhibitory,CX3CR1,11,0.2889474410313219,0.3888157415152289,0.4943060913354326
CA3,excitatory,inhibitory,PLP1,11,0.42068673430212106,0.19760744196765698,0.39521488393531395
CA3,excitatory,inhibitory,RIMS1,11,-0.460844449560605,0.15370402021202983,0.3842600505300746
CA3,excitatory,inhibitory,UNC13A,11,-0.7531115738044939,0.007458573846791558,0.07458573846791558
CA3,excitatory,inhibitory,STXBP5,11,0.2851004584542894,0.3954448730683461,0.4943060913354326
CA3,excitatory,inhibitory,APOE,11,-0.466382262216747,0.1481765393056412,0.3842600505300746
CA3,excitatory,inhibitory,ITGAM,11,0.11006673904977379,0.7473307168725375,0.7473307168725375
CA3,excitatory,inhibitory,SLC1A3,11,0.1381395959590263,0.6854404789897214,0.7473307168725375
CA3,excitatory,microglia,SNAP25,11,0.04948651382493652,0.8851136035903324,0.8851136035903324
CA3,excitatory,microglia,GFAP,11,0.6310272298436306,0.037346814874076366,0.18673407437038184
CA3,excitatory,microglia,CX3CR1,11,-0.08427400248243462,0.8054095678922626,0.8851136035903324
CA3,excitatory,microglia,PLP1,11,0.40522367080720884,0.21631931816901026,0.5407982954225257
CA3,excitatory,microglia,RIMS1,11,-0.18286967210051638,0.5904403698368706,0.8327825145938029
CA3,excitatory,microglia,UNC13A,11,-0.5174804294014737,0.10303913561747259,0.3434637853915753
CA3,excitatory,microglia,STXBP5,11,0.20236335580299455,0.55068388404677,0.8327825145938029
CA3,excitatory,microglia,APOE,11,-0.6983365990476368,0.016840791323879202,0.168407913238792
CA3,excitatory,microglia,ITGAM,11,0.14700772109554133,0.6662260116750424,0.8327825145938029
CA3,excitatory,microglia,SLC1A3,11,0.31735413771578824,0.3416252635299647,0.6832505270599294
CA3,excitatory,oligodendrocyte,SNAP25,11,-0.0011015422772206948,0.9974353824875883,0.9974353824875883
CA3,excitatory,oligodendrocyte,GFAP,11,-0.2525495835662882,0.4537191768473381,0.8555058460678513
CA3,excitatory,oligodendrocyte,CX3CR1,11,-0.42226973831227915,0.19574872269843285,0.6524957423281096
CA3,excitatory,oligodendrocyte,PLP1,11,0.7023896770219371,0.015949947018875203,0.15949947018875202
CA3,excitatory,oligodendrocyte,RIMS1,11,0.23217003326731317,0.49210444575561196,0.8555058460678513
CA3,excitatory,oligodendrocyte,UNC13A,11,-0.05717270737659404,0.8673963350102395,0.9974353824875883
CA3,excitatory,oligodendrocyte,STXBP5,11,-0.4284495768159973,0.188593522272512,0.6524957423281096
CA3,excitatory,oligodendrocyte,APOE,11,-0.22121787861665537,0.5133035076407108,0.8555058460678513
CA3,excitatory,oligodendrocyte,ITGAM,11,0.030328929845028045,0.9294636240373723,0.9974353824875883
CA3,excitatory,oligodendrocyte,SLC1A3,11,-0.06197618872692684,0.8563512028506425,0.9974353824875883
DG-CA1,astrocyte,excitatory,SNAP25,14,0.10344393489449714,0.7249044942624169,0.9061306178280211
DG-CA1,astrocyte,excitatory,GFAP,14,-0.002949655557791489,0.9920153060130821,0.9920153060130821
DG-CA1,astrocyte,excitatory,CX3CR1,14,-0.20481534361178524,0.4824287148605518,0.9031232031294412
DG-CA1,astrocyte,excitatory,PLP1,14,0.007158785550310469,0.9806225989380583,0.9920153060130821
DG-CA1,astrocyte,excitatory,RIMS1,14,-0.1542535330379063,0.5985255103721628,0.9031232031294412
DG-CA1,astrocyte,excitatory,UNC13A,14,0.14037629450422356,0.6321862421906088,0.9031232031294412
DG-CA1,astrocyte,excitatory,STXBP5,14,0.28929694080101404,0.31576597833205255,0.9031232031294412
DG-CA1,astrocyte,excitatory,APOE,14,-0.1588401119167656,0.5875582031280857,0.9031232031294412
DG-CA1,astrocyte,excitatory,ITGAM,14,-0.5208251261759242,0.05618396231423767,0.5618396231423767
DG-CA1,astrocyte,excitatory,SLC1A3,14,0.2299038960333613,0.4291194772639029,0.9031232031294412
DG-CA1,astrocyte,inhibitory,SNAP25,14,0.006655778669716006,0.9819839293437175,0.9819839293437175
DG-CA1,astrocyte,inhibitory,GFAP,14,-0.01720371158237813,0.9534519794848206,0.9819839293437175
DG-CA1,astrocyte,inhibitory,CX3CR1,14,0.1547949619619035,0.597226670072066,0.9819839293437175
DG-CA1,astrocyte,inhibitory,PLP1,14,-0.09211858291912006,0.7541232444641607,0.9819839293437175
DG-CA1,astrocyte,inhibitory,RIMS1,14,0.4704348524848391,0.08957903793918476,0.4693936682563349
