cell_id,_dummy,SNAP25,GFAP,CX3CR1,PLP1,RIMS1,UNC13A,STXBP5,APOE,ITGAM,SLC1A3
5X_A_cell000,0,0,9,0,2,2,0,0,0,0,7
5X_A_cell001,0,1,1,2,8,0,0,1,1,1,0
5X_A_cell002,0,0,0,11,0,0,0,1,2,5,0
5X_A_cell003,0,7,1,0,2,9,4,1,0,2,2
5X_A_cell004,0,1,0,0,0,2,1,1,1,0,0
5X_A_cell005,0,0,0,0,8,0,0,0,0,3,0
5X_A_cell006,0,8,0,0,0,7,3,2,1,1,1
5X_A_cell007,0,1,0,7,2,0,0,0,3,8,0
5X_A_cell008,0,0,1,7,1,0,2,0,4,11,0
5X_A_cell009,0,6,0,0,0,6,1,1,0,0,1
5X_A_cell010,0,2,0,0,1,2,1,1,0,0,1
5X_A_cell011,0,7,1,0,1,4,2,4,0,0,0
5X_A_cell012,0,6,0,0,0,5,3,2,1,0,3
5X_A_cell013,0,0,0,0,0,3,3,2,0,0,1
5X_A_cell014,0,1,10,0,1,2,0,2,1,0,4
5X_A_cell015,0,0,7,0,0,2,1,0,0,0,6
5X_A_cell016,0,2,0,0,3,1,0,0,2,1,0
5X_A_cell017,0,2,1,6,1,0,1,0,6,7,1
5X_A_cell018,0,1,15,0,0,1,0,1,2,0,5
5X_A_cell019,0,0,0,0,8,2,0,2,0,1,0
5X_A_cell020,0,6,0,1,0,0,1,3,0,0,1
5X_A_cell021,0,12,0,1,3,7,2,2,0,2,0
5X_A_cell022,0,1,8,0,0,4,0,2,0,0,10
5X_A_cell023,0,9,0,2,2,4,1,1,0,1,1
5X_A_cell024,0,3,0,0,1,6,3,1,1,0,0
5X_A_cell025,0,0,13,0,1,2,1,0,0,0,4
5X_A_cell026,0,5,0,1,0,5,6,1,0,0,0
5X_A_cell027,0,0,0,0,14,1,1,0,1,1,0
5X_A_cell028,0,0,11,0,1,2,0,1,0,1,1
5X_A_cell029,0,1,11,0,3,0,1,0,2,0,11
5X_B_cell000,0,0,5,0,1,2,1,1,0,0,7
5X_B_cell001,0,2,0,0,0,8,3,3,0,0,1
5X_B_cell002,0,8,3,0,1,8,2,3,0,1,2
5X_B_cell003,0,8,0,1,0,7,2,2,1,0,1
5X_B_cell004,0,1,1,7,1,0,1,0,4,8,0
5X_B_cell005,0,7,1,0,2,2,2,3,0,1,1
5X_B_cell006,0,4,0,0,0,3,2,1,1,0,0
5X_B_cell007,0,11,1,1,2,8,12,4,0,0,2
5X_B_cell008,0,1,0,5,3,0,0,1,7,5,2
5X_B_cell009,0,3,0,0,0,2,2,2,1,0,3
5X_B_cell010,0,5,1,0,1,4,5,3,1,0,0
5X_B_cell011,0,0,0,0,13,1,0,1,1,0,1
5X_B_cell012,0,0,4,0,0,2,0,1,0,0,6
5X_B_cell013,0,0,1,4,1,0,0,0,1,3,0
5X_B_cell014,0,1,8,1,1,0,0,0,0,0,5
5X_B_cell015,0,1,1,6,0,0,1,0,2,7,0
5X_B_cell016,0,3,0,0,0,6,1,1,0,0,1
5X_B_cell017,0,0,5,1,1,0,0,0,0,0,8
5X_B_cell018,0,0,10,0,0,2,0,0,0,0,8
5X_B_cell019,0,0,0,1,6,1,0,1,0,0,0
5X_B_cell020,0,4,1,1,0,2,1,2,0,0,0
5X_B_cell021,0,0,8,0,1,1,0,0,1,1,4
5X_B_cell022,0,2,1,0,0,3,3,2,0,1,1
5X_B_cell023,0,4,1,2,0,2,2,2,1,0,1
5X_B_cell024,0,4,0,0,0,5,3,2,1,1,0
5X_B_cell025,0,4,4,0,0,5,4,2,0,0,1
5X_B_cell026,0,0,0,4,0,0,0,2,2,1,0
5X_B_cell027,0,2,0,0,0,3,3,1,0,2,1
5X_B_cell028,0,1,0,0,9,0,0,1,0,0,0
5X_B_cell029,0,1,6,0,2,0,1,0,2,0,10
WT_A_cell000,0,0,4,0,0,0,2,0,0,1,6
WT_A_cell001,0,0,8,0,0,1,1,1,1,0,5
WT_A_cell002,0,0,9,0,0,0,0,0,1,1,1
WT_A_cell003,0,17,0,0,1,5,7,4,1,0,0
WT_A_cell004,0,3,0,0,0,6,3,3,0,0,2
WT_A_cell005,0,2,0,1,0,4,2,1,0,2,1
WT_A_cell006,0,4,1,0,2,3,2,1,1,2,2
WT_A_cell007,0,2,0,0,1,8,0,1,0,0,0
WT_A_cell008,0,0,0,0,2,0,0,0,2,2,1
WT_A_cell009,0,3,0,0,0,2,4,3,0,0,0
WT_A_cell010,0,2,1,0,1,2,0,0,2,1,6
WT_A_cell011,0,1,2,1,0,1,1,1,0,0,3
WT_A_cell012,0,2,1,1,4,0,0,0,1,3,0
WT_A_cell013,0,0,5,0,0,0,0,2,1,0,8
WT_A_cell014,0,8,2,2,1,3,5,2,2,0,1
WT_A_cell015,0,0,0,2,0,0,0,0,5,5,1
WT_A_cell016,0,1,0,1,8,0,0,0,0,1,0
WT_A_cell017,0,1,0,0,4,0,0,1,1,0,0
WT_A_cell018,0,2,5,0,1,0,0,1,0,0,15
WT_A_cell019,0,8,0,0,0,0,3,0,3,0,1
WT_A_cell020,0,9,0,1,0,3,1,1,0,0,0
WT_A_cell021,0,0,0,1,5,0,1,0,0,1,0
WT_A_cell022,0,2,5,0,0,2,1,0,1,2,7
WT_A_cell023,0,6,0,0,2,2,3,1,2,0,0
WT_A_cell024,0,0,1,1,8,0,0,0,0,0,0
WT_A_cell025,0,3,18,0,2,1,1,0,0,0,5
WT_A_cell026,0,1,7,1,1,0,1,0,0,0,8
WT_A_cell027,0,7,0,1,1,3,1,2,0,1,0
WT_A_cell028,0,1,1,0,1,3,1,1,0,0,0
