point_id,cell_id,cell_type
1,1,inhibitory neurons
2,1,inhibitory neurons
3,1,inhibitory neurons
4,2,unassigned
5,2,unassigned
6,2,unassigned
7,1,inhibitory neurons
8,1,inhibitory neurons
9,1,inhibitory neurons
10,2,unassigned
11,1,inhibitory neurons
12,2,unassigned
13,2,unassigned
14,1,inhibitory neurons
15,2,unassigned
16,2,unassigned
17,2,unassigned
18,2,unassigned
19,2,unassigned
20,2,unassigned
21,1,inhibitory neurons
22,1,inhibitory neurons
23,1,inhibitory neurons
24,2,unassigned
25,2,unassigned
26,2,unassigned
27,1,inhibitory neurons
28,2,unassigned
29,2,unassigned
30,1,inhibitory neurons
31,1,inhibitory neurons
32,2,unassigned
33,2,unassigned
34,2,unassigned
35,1,inhibitory neurons
36,1,inhibitory neurons
37,1,inhibitory neurons
38,1,inhibitory neurons
39,1,inhibitory neurons
40,1,inhibitory neurons
41,1,inhibitory neurons
42,1,inhibitory neurons
43,2,unassigned
44,2,unassigned
45,2,unassigned
46,3,inhibitory neurons
47,1,inhibitory neurons
48,1,inhibitory neurons
49,1,inhibitory neurons
50,1,inhibitory neurons
51,2,unassigned
52,2,unassigned
53,4,unassigned
54,1,inhibitory neurons
55,2,unassigned
56,5,inhibitory neurons
57,2,unassigned
58,2,unassigned
59,1,inhibitory neurons
60,1,inhibitory neurons
61,1,inhibitory neurons
62,1,inhibitory neurons
63,1,inhibitory neurons
64,1,inhibitory neurons
65,1,inhibitory neurons
66,1,inhibitory neurons
67,1,inhibitory neurons
68,1,inhibitory neurons
69,2,unassigned
70,2,unassigned
71,2,unassigned
72,2,unassigned
73,1,inhibitory neurons
74,1,inhibitory neurons
75,1,inhibitory neurons
76,1,inhibitory neurons
77,6,astrocytes
78,2,unassigned
79,2,unassigned
80,2,unassigned
81,1,inhibitory neurons
82,2,unassigned
83,3,inhibitory neurons
84,1,inhibitory neurons
85,1,inhibitory neurons
86,1,inhibitory neurons
87,2,unassigned
88,2,unassigned
89,1,inhibitory neurons
90,1,inhibitory neurons
91,1,inhibitory neurons
92,1,inhibitory neurons
93,2,unassigned
94,5,inhibitory neurons
95,1,inhibitory neurons
96,2,unassigned
97,6,astrocytes
98,1,inhibitory neurons
99,5,inhibitory neurons
100,2,unassigned
101,1,inhibitory neurons
102,1,inhibitory neurons
103,1,inhibitory neurons
104,2,unassigned
105,2,unassigned
106,2,unassigned
107,1,inhibitory neurons
108,1,inhibitory neurons
109,1,inhibitory neurons
110,2,unassigned
111,1,inhibitory neurons
112,2,unassigned
113,2,unassigned
114,1,inhibitory neurons
115,2,unassigned
116,2,unassigned
117,2,unassigned
118,2,unassigned
119,2,unassigned
120,2,unassigned
121,1,inhibitory neurons
122,1,inhibitory neurons
123,1,inhibitory neurons
124,2,unassigned
125,2,unassigned
126,2,unassigned
127,1,inhibitory neurons
128,2,unassigned
129,2,unassigned
130,1,inhibitory neurons
131,1,inhibitory neurons
132,2,unassigned
133,2,unassigned
134,2,unassigned
135,1,inhibitory neurons
136,1,inhibitory neurons
137,1,inhibitory neurons
138,1,inhibitory neurons
139,1,inhibitory neurons
140,1,inhibitory neurons
141,1,inhibitory neurons
142,1,inhibitory neurons
143,2,unassigned
144,2,unassigned
145,2,unassigned
146,3,inhibitory neurons
147,1,inhibitory neurons
148,1,inhibitory neurons
149,1,inhibitory neurons
150,1,inhibitory neurons
151,2,unassigned
152,2,unassigned
153,4,unassigned
154,1,inhibitory neurons
155,2,unassigned
156,5,inhibitory neurons
157,2,unassigned
