point_id,region_id
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,2
11,1
12,2
13,2
14,1
15,1
16,2
17,2
18,1
19,2
20,3
21,1
22,1
23,1
24,1
25,2
26,3
27,1
28,2
29,2
30,1
31,1
32,2
33,2
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,4
52,2
53,1
54,1
55,1
56,1
57,2
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,4
70,2
71,2
72,2
73,1
74,1
75,1
76,1
77,1
78,4
79,2
80,2
81,1
82,3
83,1
84,1
85,1
86,1
87,2
88,4
89,1
90,1
91,1
92,1
93,3
94,1
95,1
96,4
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,2
111,1
112,2
113,2
114,1
115,1
116,2
117,2
118,1
119,2
120,3
121,1
122,1
123,1
124,1
125,2
126,3
127,1
128,2
129,2
130,1
131,1
132,2
133,2
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,4
152,2
153,1
154,1
155,1
156,1
157,2
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,4
170,2
171,2
172,2
173,1
174,1
175,1
176,1
177,1
178,4
179,2
180,2
181,1
182,3
183,1
184,1
185,1
186,1
187,2
188,4
189,1
190,1
191,1
192,1
193,3
194,1
195,1
196,4
197,1
198,1
199,1
200,1
201,4
202,2
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,3
211,1
212,1
213,1
214,1
215,2
216,2
217,1
218,1
219,2
220,2
221,1
222,1
223,1
224,1
225,1
226,4
227,2
228,1
229,1
230,1
231,1
232,1
233,2
234,2
235,1
236,1
237,2
238,1
239,1
240,1
241,2
242,1
243,2
244,4
245,2
246,1
247,1
248,1
249,1
250,2
251,4
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,2
262,1
263,1
264,1
265,1
266,1
267,2
268,1
269,1
270,1
271,1
272,2
273,2
274,2
275,2
276,1
277,2
278,1
279,1
280,1
281,2
282,2
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,2
291,1
292,1
293,1
294,2
295,1
296,1
297,4
298,1
299,1
300,1
301,1
302,1
303,2
304,2
305,4
306,4
307,1
308,1
309,2
310,2
311,2
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,3
321,2
322,1
323,4
324,1
325,2
326,2
327,1
328,1
329,1
330,4
331,2
332,2
333,2
334,1
335,1
336,1
337,1
338,2
339,1
340,1
341,1
342,4
343,2
344,1
345,1
346,1
347,1
348,4
349,2
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,3
365,2
366,1
367,1
368,1
369,1
370,4
371,1
372,1
373,1
374,4
375,2
376,1
377,1
378,1
379,1
380,1
381,4
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,4
392,1
393,2
394,1
395,1
396,4
397,1
398,1
399,1
400,1
401,1
402,2
403,1
404,1
405,2
406,2
407,1
408,1
409,1
410,1
411,4
412,2
413,1
414,3
415,1
416,1
417,1
418,1
419,2
420,2
421,2
422,2
423,1
424,1
425,1
426,2
427,2
428,2
429,2
430,1
431,1
432,4
433,2
434,2
435,1
436,3
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,4
445,4
446,1
447,2
448,1
449,1
450,1
451,1
452,1
453,4
454,1
455,4
456,1
457,2
458,2
459,1
460,1
461,1
462,4
463,4
464,1
465,1
466,1
467,1
468,4
469,4
470,4
471,2
472,1
473,1
474,1
475,1
476,1
477,1
478,1
479,4
480,4
481,2
482,4
483,1
484,4
485,2
486,2
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,4
502,1
503,1
504,1
505,2
506,1
507,1
508,1
509,2
510,1
511,1
512,1
513,4
514,4
515,4
516,1
517,1
518,1
519,1
520,1
521,1
522,4
523,4
524,4
525,1
526,2
527,1
528,2
529,2
530,1
531,1
532,1
533,4
534,1
535,4
536,1
537,1
538,1
539,2
540,2
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,4
550,4
551,1
552,1
553,2
554,4
555,2
556,1
557,1
558,1
559,1
560,1
561,1
562,4
563,4
564,1
565,1
566,1
567,1
568,1
569,4
570,4
571,4
572,4
573,2
574,2
575,2
576,3
577,1
578,1
579,1
580,1
581,1
582,1
583,4
584,4
585,1
586,1
587,4
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,4
596,1
597,1
598,1
599,1
600,1
601,1
