cell_id,cell
1,J01_0
2,J01_11
3,J01_12
4,J01_24
5,J01_9
6,J01_7
7,J01_34
8,J01_65
9,J01_25
10,J01_26
11,J01_1
12,J01_43
13,J01_6
14,J01_64
15,J01_14
16,J01_4
17,J01_27
18,J01_28
19,J01_32
20,J01_23
21,J01_16
22,J01_35
23,J01_31
24,J01_61
25,J01_20
26,J01_19
27,J01_21
28,J01_22
29,J01_33
30,J01_54
31,J01_87
32,J01_79
33,J01_75
34,J01_15
35,J01_57
36,J01_67
37,J01_30
38,J01_50
39,J01_36
40,J01_45
41,J01_49
42,J01_60
43,J01_38
44,J01_63
45,J01_42
46,J01_72
47,J01_80
48,J01_62
49,J01_39
50,J01_46
51,J01_58
52,J01_69
53,J01_41
54,J01_48
55,J01_114
56,J01_47
57,J01_37
58,J01_111
59,J01_113
60,J01_59
61,J01_71
62,J01_70
63,J01_110
64,J01_90
65,J01_92
66,J01_91
67,J01_125
68,J01_93
69,J01_68
70,J01_77
71,J01_51
72,J01_103
73,J01_94
74,J01_66
75,J01_106
76,J01_85
77,J01_86
78,J01_73
79,J01_96
80,J01_76
81,J01_81
82,J01_89
83,J01_130
84,J01_105
85,J01_52
86,J01_109
87,J01_74
88,J01_128
89,J01_78
90,J01_107
91,J01_82
92,J01_112
93,J01_83
94,J01_53
95,J01_56
96,J01_88
97,J01_102
98,J01_97
99,J01_153
100,J01_122
101,J01_84
102,J01_124
103,J01_95
104,J01_104
105,J01_100
106,J01_108
107,J01_120
108,J01_117
109,J01_118
110,J01_140
111,J01_126
112,J01_101
113,J01_141
114,J01_99
115,J01_98
116,J01_121
117,J01_119
118,J01_152
119,J01_116
120,J01_139
121,J01_115
122,J01_143
123,J01_129
124,J01_138
125,J01_144
126,J01_127
127,J01_132
128,J01_162
129,J01_136
130,J01_147
131,J01_150
132,J01_142
133,J01_157
134,J01_148
135,J01_133
136,J01_137
137,J01_160
138,J01_123
139,J01_134
140,J01_151
141,J01_156
142,J01_145
143,J01_155
144,J01_135
145,J01_159
146,J01_154
147,J01_167
148,J01_176
149,J01_131
150,J01_191
151,J01_165
152,J01_179
153,J01_146
154,J01_177
155,J01_168
156,J01_149
157,J01_175
158,J01_161
159,J01_189
160,J01_169
161,J01_174
162,J01_171
163,J01_190
164,J01_184
165,J01_170
166,J01_197
167,J01_193
168,J01_158
169,J01_173
170,J01_212
171,J01_192
172,J01_172
173,J01_166
174,J01_163
175,J01_201
176,J01_188
177,J01_180
178,J01_222
179,J01_182
180,J01_241
181,J01_196
182,J01_194
183,J01_185
184,J01_230
185,J01_202
186,J01_198
187,J01_178
188,J01_203
189,J01_231
190,J01_183
191,J01_205
192,J01_268
193,J01_272
194,J01_255
195,J01_209
196,J01_204
197,J01_213
198,J01_200
199,J01_246
200,J01_237
201,J01_187
202,J01_186
203,J01_215
204,J01_195
205,J01_251
206,J01_216
207,J01_221
208,J01_235
209,J01_208
210,J01_217
211,J01_181
212,J01_220
213,J01_218
214,J01_199
215,J01_219
216,J01_224
217,J01_233
218,J01_238
219,J01_210
220,J01_254
221,J01_226
222,J01_206
223,J01_214
224,J01_223
225,J01_228
226,J01_225
227,J01_207
228,J01_249
229,J01_253
230,J01_281
231,J01_234
232,J01_269
233,J01_242
234,J01_248
235,J01_240
236,J01_236
237,J01_260
238,J01_267
239,J01_211
240,J01_250
241,J01_232
242,J01_274
243,J01_256
244,J01_262
245,J01_245
246,J01_279
247,J01_266
248,J01_302
249,J01_291
250,J01_247
251,J01_271
252,J01_277
253,J01_243
254,J01_229
255,J01_332
256,J01_263
257,J01_259
258,J01_264
259,J01_257
260,J01_275
261,J01_265
262,J01_252
263,J01_309
264,J01_306
