cell_id,cell
1,F04_2
2,F04_0
3,F04_4
4,F04_1
5,F04_7
6,F04_6
7,F04_5
8,F04_19
9,F04_15
10,F04_11
11,F04_10
12,F04_12
13,F04_14
14,F04_16
15,F04_8
16,F04_18
17,F04_21
18,F04_20
19,F04_24
20,F04_22
21,F04_25
22,F04_26
23,F04_27
24,F04_28
25,F04_32
26,F04_29
27,F04_35
28,F04_36
29,F04_37
30,F04_56
31,F04_40
32,F04_38
33,F04_41
34,F04_44
35,F04_60
36,F04_45
37,F04_51
38,F04_47
39,F04_46
40,F04_49
41,F04_54
42,F04_52
43,F04_61
44,H05_0
45,H05_1
46,H05_4
47,H05_3
48,H05_5
49,H05_9
50,H05_11
51,H05_13
52,H05_12
53,H05_18
54,H05_16
55,H05_7
56,H05_20
57,H05_15
58,H05_40
59,H05_17
60,H05_26
61,H05_28
62,H05_43
63,H05_27
64,H05_14
65,H05_51
66,H05_33
67,H05_32
68,H05_22
69,H05_35
70,H05_44
71,H05_46
72,H05_19
73,H05_41
74,H05_48
75,H05_36
76,H05_52
77,H05_50
78,H05_45
79,H05_64
80,H05_39
81,H05_24
82,H05_54
83,H05_53
84,H05_60
85,H05_56
86,H05_55
87,H05_47
88,H05_57
89,H05_59
90,H05_67
91,H05_65
92,H05_70
93,H05_63
94,H05_75
95,H05_74
96,H05_62
97,H05_77
98,H05_71
99,H05_78
100,H05_81
101,H05_87
102,H05_88
103,H05_86
104,H05_85
105,H05_89
106,H05_92
107,K06_0
108,K06_17
109,K06_14
110,K06_11
111,K06_4
112,K06_13
113,K06_6
114,K06_8
115,K06_39
116,K06_15
117,K06_29
118,K06_9
119,K06_41
120,K06_28
121,K06_2
122,K06_16
123,K06_12
124,K06_25
125,K06_3
126,K06_27
127,K06_43
128,K06_23
129,K06_19
130,K06_21
131,K06_26
132,K06_42
133,K06_32
134,K06_57
135,K06_18
136,K06_71
137,K06_33
138,K06_38
139,K06_37
140,K06_47
141,K06_59
142,K06_36
143,K06_45
144,K06_63
145,K06_40
146,K06_35
147,K06_65
148,K06_31
149,K06_66
150,K06_52
151,K06_72
152,K06_76
153,K06_77
154,K06_74
155,K06_54
156,K06_62
157,K06_48
158,K06_70
159,K06_53
160,K06_50
161,K06_98
162,K06_88
163,K06_55
164,K06_60
165,K06_58
166,K06_83
167,K06_84
168,K06_69
169,K06_56
170,K06_92
171,K06_75
172,K06_80
173,K06_68
174,K06_97
175,K06_90
176,K06_64
177,K06_91
178,K06_86
179,K06_87
180,K06_99
181,K06_82
182,K06_81
183,K06_93
184,K06_100
185,K06_78
186,K06_61
187,K06_85
188,K06_104
189,K06_94
190,K06_101
191,K06_89
192,K06_108
193,K06_128
194,K06_113
195,K06_73
196,K06_125
197,K06_111
198,K06_109
199,K06_114
200,K06_96
201,K06_116
202,K06_102
203,K06_124
204,K06_107
205,K06_112
206,K06_103
207,K06_139
208,K06_143
209,K06_138
210,K06_148
211,K06_115
212,K06_130
213,K06_122
214,K06_110
215,K06_140
216,K06_126
217,K06_117
218,K06_120
219,K06_135
220,K06_118
221,K06_131
222,K06_187
223,K06_159
224,K06_165
225,K06_155
226,K06_153
227,K06_172
228,K06_137
229,K06_147
230,K06_179
231,K06_134
232,K06_145
233,K06_175
234,K06_133
235,K06_144
236,K06_142
237,K06_141
238,K06_163
239,K06_151
240,K06_150
241,K06_156
242,K06_149
243,K06_167
244,K06_169
245,K06_174
246,K06_181
247,K06_183
248,K06_79
249,K06_158
250,K06_157
251,K06_173
252,K06_177
253,K06_189
254,K06_161
255,K06_162
256,K06_160
257,K06_171
258,K06_164
259,K06_170
260,K06_195
261,K06_182
262,K06_166
263,K06_205
264,K06_194
265,K06_168
266,K06_191
267,K06_178
268,K06_190
269,K06_198
270,K06_185
271,K06_208
272,K06_200
273,K06_188
274,K06_176
275,K06_132
276,K06_196
277,K06_193
278,K06_204
279,K06_199
280,K06_212
281,K06_201
282,K06_209
283,K06_202
284,K06_227
285,K06_184
286,K06_222
287,K06_214
288,K06_203
289,K06_221
290,K06_225
291,K06_224
292,K06_220
293,K06_223
294,K06_210
295,K06_206
296,K06_207
297,K06_211
298,K06_216
299,K06_219
300,K06_230
301,K06_213
302,K06_226
303,K06_217
304,K06_236
305,K06_232
306,G01_34
307,G01_13
308,G01_25
309,G01_3
310,G01_0
311,G01_24
312,G01_12
313,G01_39
314,G01_4
315,G01_28
316,G01_2
317,G01_33
318,G01_46
319,G01_45
320,G01_7
321,G01_5
322,G01_9
323,G01_10
324,G01_29
325,G01_31
326,G01_11
327,G01_30
328,G01_8
329,G01_41
330,G01_40
331,G01_43
332,G01_16
333,G01_1
334,G01_14
335,G01_20
336,G01_37
337,G01_32
338,G01_38
339,G01_57
340,G01_47
341,G01_50
342,G01_66
343,G01_15
344,G01_55
345,G01_61
346,G01_22
347,G01_72
348,G01_65
349,G01_56
350,G01_53
351,G01_21
352,G01_76
353,G01_42
354,G01_62
355,G01_71
356,G01_75
357,G01_59
358,G01_23
359,G01_44
360,G01_69
361,G01_78
